,station_id,latitude,longitude,name,zone,stepfree,stepfree_interchange,line,line_name
173,616,51.4884,-0.1053,Kennington,2.0,0,1,9,Northern Line
176,619,51.5507,-0.1402,Kentish Town,2.0,0,0,9,Northern Line
179,622,51.5471,-0.2047,Kilburn,2.0,1,1,7,Jubilee Line
184,625,51.5308,-0.1238,King's Cross St. Pancras,1.0,1,1,9,Northern Line
185,625,51.5308,-0.1238,King's Cross St. Pancras,1.0,1,1,10,Piccadilly Line
186,625,51.5308,-0.1238,King's Cross St. Pancras,1.0,1,1,11,Victoria Line
187,624,51.5846,-0.2786,Kingsbury,4.0,1,1,7,Jubilee Line
188,626,51.5015,-0.1607,Knightsbridge,1.0,0,0,10,Piccadilly Line
192,629,51.5119,-0.1756,Lancaster Gate,1.0,0,0,2,Central Line
195,631,51.5113,-0.1281,Leicester Square,1.0,0,0,9,Northern Line
196,631,51.5113,-0.1281,Leicester Square,1.0,0,0,10,Piccadilly Line
197,632,51.5566,-0.0053,Leyton,3.0,0,0,2,Central Line
198,633,51.5683,0.0083,Leytonstone,3.5,0,0,2,Central Line
199,634,51.5178,-0.0823,Liverpool Street,1.0,0,0,2,Central Line
203,635,51.5052,-0.0864,London Bridge,1.0,1,1,7,Jubilee Line
204,635,51.5052,-0.0864,London Bridge,1.0,1,1,9,Northern Line
205,636,51.6412,0.0558,Loughton,6.0,0,0,2,Central Line
207,638,51.5712,-0.0958,Manor House,2.5,0,0,10,Piccadilly Line
210,640,51.5136,-0.1586,Marble Arch,1.0,0,0,2,Central Line
212,642,51.5249,-0.0332,Mile End,2.0,0,1,2,Central Line
215,643,51.6082,-0.2103,Mill Hill East,4.0,1,1,9,Northern Line
221,647,51.4022,-0.1948,Morden,4.0,1,1,9,Northern Line
222,648,51.5342,-0.1387,Mornington Crescent,2.0,0,0,9,Northern Line
223,649,51.5542,-0.2503,Neasden,3.0,0,0,7,Jubilee Line
224,650,51.5756,0.0899,Newbury Park,4.0,1,1,2,Central Line
225,653,51.5237,-0.2597,North Acton,2.5,0,0,2,Central Line
227,789,51.5005,0.0039,North Greenwich,2.5,1,1,7,Jubilee Line
230,655,51.4995,-0.3142,Northfields,3.0,0,0,10,Piccadilly Line
235,663,51.5094,-0.1967,Notting Hill Gate,1.5,0,0,2,Central Line
238,664,51.6476,-0.1318,Oakwood,5.0,1,1,10,Piccadilly Line
240,667,51.4813,-0.3522,Osterley,4.0,0,0,10,Piccadilly Line
241,668,51.4819,-0.113,Oval,2.0,0,0,9,Northern Line
243,669,51.515,-0.1415,Oxford Circus,1.0,0,0,2,Central Line
253,674,51.5098,-0.1342,Piccadilly Circus,1.0,0,0,10,Piccadilly Line
254,776,51.4893,-0.1334,Pimlico,1.0,0,0,11,Victoria Line
261,679,51.5942,-0.2861,Queensbury,4.0,0,0,7,Jubilee Line
262,681,51.5107,-0.1877,Queensway,1.0,0,0,2,Central Line
266,684,51.5763,0.0454,Redbridge,4.0,0,0,2,Central Line
270,688,51.6171,0.0439,Roding Valley,5.0,1,1,2,Central Line
278,694,51.523,-0.1244,Russell Square,1.0,0,0,10,Piccadilly Line
279,698,51.5822,-0.0749,Seven Sisters,3.0,0,0,11,Victoria Line
280,700,51.5046,-0.2187,Shepherd's Bush,2.0,0,0,2,Central Line
285,703,51.5808,0.0216,Snaresbrook,4.0,0,0,2,Central Line
286,704,51.5011,-0.3072,South Ealing,3.0,0,0,10,Piccadilly Line
