,station_id,latitude,longitude,name,zone,stepfree,stepfree_interchange,line,line_name,flooding
327,735,51.5904,-0.1028,Turnpike Lane,3,0,0,10,Piccadilly Line,0
335,777,51.4861,-0.1253,Vauxhall,1.5,1,1,11,Victoria Line,1
338,741,51.4965,-0.1447,Victoria,1,1,1,11,Victoria Line,0
339,742,51.583,-0.0195,Walthamstow Central,3,0,0,11,Victoria Line,0
342,745,51.5247,-0.1384,Warren Street,1,0,0,11,Victoria Line,0
345,747,51.5036,-0.1143,Waterloo,1,1,1,7,Jubilee Line,1
352,753,51.518,-0.2809,West Acton,3,0,0,2,Central Line,0
358,758,51.5469,-0.1906,West Hampstead,2,0,0,7,Jubilee Line,0
366,761,51.501,-0.1254,Westminster,1,1,1,7,Jubilee Line,0
367,764,51.512,-0.2239,White City,2,0,0,2,Central Line,0
370,765,51.5492,-0.2215,Willesden Green,2.5,0,0,7,Jubilee Line,0
374,770,51.5975,-0.1097,Wood Green,3,0,0,10,Piccadilly Line,0
