station_id,latitude,longitude,name,zone,stepfree,stepfree_interchange,line,line_name
528,51.5269,-0.0247,Bow Road,2.0,0,0,6,Hammersmith & City Line
529,51.5766,-0.2136,Brent Cross,3.0,0,0,9,Northern Line
778,51.4627,-0.1145,Brixton,2.0,1,1,11,Victoria Line
530,51.5248,-0.0119,Bromley-By-Bow,2.5,1,1,4,District Line
530,51.5248,-0.0119,Bromley-By-Bow,2.5,1,1,6,Hammersmith & City Line
531,51.6266,0.0471,Buckhurst Hill,5.0,1,1,2,Central Line
532,51.6028,-0.2641,Burnt Oak,4.0,0,0,9,Northern Line
534,51.5481,-0.1188,Caledonian Road,2.0,1,1,10,Piccadilly Line
535,51.5392,-0.1426,Camden Town,2.0,0,1,9,Northern Line
788,51.4982,-0.0502,Canada Water,2.0,1,1,7,Jubilee Line
852,51.5051,-0.0209,Canary Wharf,2.0,1,1,7,Jubilee Line
884,51.5147,0.0082,Canning Town,3.0,1,1,7,Jubilee Line
536,51.5113,-0.0904,Cannon Street,1.0,0,0,3,Circle Line
536,51.5113,-0.0904,Cannon Street,1.0,0,0,4,District Line
537,51.6078,-0.2947,Canons Park,5.0,0,0,7,Jubilee Line
539,51.6679,-0.561,Chalfont & Latimer,9.0,1,1,8,Metropolitan Line
540,51.5441,-0.1538,Chalk Farm,2.0,0,0,9,Northern Line
541,51.5185,-0.1111,Chancery Lane,1.0,0,0,2,Central Line
718,51.508,-0.1247,Charing Cross,1.0,0,0,1,Bakerloo Line
718,51.508,-0.1247,Charing Cross,1.0,0,0,9,Northern Line
543,51.7052,-0.611,Chesham,10.0,1,1,8,Metropolitan Line
544,51.6177,0.0755,Chigwell,5.0,0,0,2,Central Line
545,51.4946,-0.2678,Chiswick Park,3.0,0,0,4,District Line
546,51.6543,-0.5183,Chorleywood,8.0,1,1,8,Metropolitan Line
547,51.4618,-0.1384,Clapham Common,2.0,0,0,9,Northern Line
548,51.4649,-0.1299,Clapham North,2.0,0,0,9,Northern Line
549,51.4527,-0.148,Clapham South,2.5,0,0,9,Northern Line
550,51.6517,-0.1496,Cockfosters,5.0,1,1,10,Piccadilly Line
551,51.5955,-0.2502,Colindale,4.0,0,0,9,Northern Line
552,51.418,-0.1778,Colliers Wood,3.0,0,0,9,Northern Line
553,51.5129,-0.1243,Covent Garden,1.0,0,0,10,Piccadilly Line
554,51.647,-0.4412,Croxley,7.0,0,0,8,Metropolitan Line
555,51.5443,0.1655,Dagenham East,5.0,0,0,4,District Line
556,51.5417,0.1469,Dagenham Heathway,5.0,0,0,4,District Line
557,51.6455,0.0838,Debden,6.0,0,0,2,Central Line
558,51.552,-0.2387,Dollis Hill,3.0,0,0,7,Jubilee Line
560,51.5152,-0.3017,Ealing Broadway,3.0,1,1,2,Central Line
560,51.5152,-0.3017,Ealing Broadway,3.0,1,1,4,District Line
561,51.5101,-0.2882,Ealing Common,3.0,0,0,4,District Line
561,51.5101,-0.2882,Ealing Common,3.0,0,0,10,Piccadilly Line
562,51.492,-0.1973,Earl's Court,1.5,1,1,4,District Line
562,51.492,-0.1973,Earl's Court,1.5,1,1,10,Piccadilly Line
563,51.5168,-0.2474,East Acton,2.0,0,0,2,Central Line
565,51.5874,-0.165,East Finchley,3.0,0,0,9,Northern Line
566,51.5394,0.0518,East Ham,3.5,1,1,4,District Line
566,51.5394,0.0518,East Ham,3.5,1,1,6,Hammersmith & City Line
567,51.4586,-0.2112,East Putney,2.5,0,0,4,District Line
564,51.5765,-0.397,Eastcote,5.0,0,0,8,Metropolitan Line
